iter	MultiClass
0	0.9572716746
1	0.8987187473
2	0.8644931209
3	0.8326912391
4	0.8150986148
5	0.8001168568
6	0.7870536228
7	0.7795517935
8	0.7698794481
9	0.7609776487
10	0.7528363664
11	0.7478082564
12	0.7406971197
13	0.7367906976
14	0.7288714434
15	0.7238768857
16	0.7193953324
17	0.7149411866
18	0.7102855337
19	0.7062503263
20	0.701508156
21	0.6977513588
22	0.6957514562
23	0.6916045689
24	0.6873102738
25	0.6829076944
26	0.6791299148
27	0.6764833406
28	0.6734211496
29	0.6704620029
30	0.6671640432
31	0.6643395456
32	0.661817604
33	0.6588622562
34	0.6562853841
35	0.6538134797
36	0.6513184386
37	0.64877021
38	0.6458255895
39	0.6435873671
40	0.6408900203
41	0.6381182625
42	0.6364474841
43	0.6344849844
44	0.6325432248
45	0.6302530516
46	0.6280628001
47	0.624977106
48	0.6228863227
49	0.6210296133
50	0.6188258728
51	0.6173054942
52	0.6151470626
53	0.6124670403
54	0.6105112629
55	0.6096294599
56	0.607419123
57	0.6053482229
58	0.6036418313
59	0.6025946142
60	0.601094539
61	0.5994074774
62	0.5979295748
63	0.5964860198
64	0.5942873912
65	0.5930384257
66	0.5919376689
67	0.590493012
68	0.5890848769
69	0.5882130659
70	0.5869427073
71	0.5859026831
72	0.5848296239
73	0.5835878962
74	0.5821021949
75	0.581165788
76	0.5799151526
77	0.5787699042
78	0.5773391018
79	0.5764208454
80	0.5750524327
81	0.5739315148
82	0.5726311997
83	0.5713366651
84	0.5704086223
85	0.5695847379
86	0.5690084935
87	0.5676600761
88	0.5665994733
89	0.5656251069
90	0.564866465
91	0.5640647797
92	0.5633509271
93	0.5621205001
94	0.5614461125
95	0.5601738789
96	0.5594509042
97	0.5583849939
98	0.557521537
99	0.5567109172
100	0.55561624
101	0.5546106065
102	0.5533681558
103	0.5524431107
104	0.5516241217
105	0.5499197107
106	0.5482825949
107	0.5475950254
108	0.5466353933
109	0.5459057982
110	0.5449465438
111	0.5437989794
112	0.5434313876
113	0.5430317354
114	0.541942805
115	0.5413633699
116	0.5404401495
117	0.5397970953
118	0.5391628414
119	0.538694362
120	0.5381370284
121	0.5376180509
122	0.5371009687
123	0.5364409837
124	0.536035963
125	0.5355276885
126	0.5347692107
127	0.5336596329
128	0.5328263831
129	0.5324735957
130	0.531930801
131	0.5309827595
132	0.5300636828
133	0.5295152936
134	0.5288665394
135	0.5282052102
136	0.5276523691
137	0.5268001747
138	0.5259776029
139	0.5252102487
140	0.524745501
141	0.5243834209
142	0.5224498565
143	0.5214951025
144	0.5206393497
145	0.5200686975
146	0.5189749993
147	0.5185832039
148	0.5175946754
149	0.5171652089
150	0.5163206148
151	0.5157045362
152	0.5149848422
153	0.5144961067
154	0.5134303182
155	0.5126185448
156	0.5117801846
157	0.5113367239
158	0.5107682209
159	0.5097688624
160	0.5088714039
161	0.5071417864
162	0.505114263
163	0.5045399083
164	0.504043367
165	0.5036024998
166	0.5028415645
167	0.5022104999
168	0.5018380782
169	0.5014370701
170	0.5008237513
171	0.5006089975
172	0.5000985352
173	0.4997091651
174	0.4992027048
175	0.4986972104
176	0.4984007208
177	0.497896285
178	0.4974392916
179	0.4969171661
180	0.4962334244
181	0.4958541525
182	0.4948854673
183	0.494389871
184	0.4940250157
185	0.4933668294
186	0.4920713027
187	0.4915906301
188	0.4910268376
189	0.4907559714
190	0.4902725947
191	0.4896033232
192	0.4890904123
193	0.4882305733
194	0.4878338941
195	0.4870256744
196	0.4865239998
197	0.4862414559
198	0.48580445
199	0.4853189168
