iter	Passed	Remaining
0	417	83165
1	597	59108
2	776	50975
3	955	46819
4	1128	44019
5	1300	42035
6	1480	40822
7	1662	39897
8	1843	39123
9	2019	38366
10	2193	37684
11	2366	37082
12	2547	36639
13	2731	36291
14	2904	35818
15	3076	35374
16	3254	35034
17	3442	34809
18	3629	34575
19	3812	34308
20	3986	33976
21	4161	33668
22	4336	33369
23	4513	33095
24	4696	32872
25	4881	32670
26	5054	32386
27	5238	32182
28	5420	31960
29	5602	31750
30	5789	31560
31	5980	31397
32	6162	31187
33	6352	31015
34	6534	30806
35	6719	30609
36	6909	30437
37	7088	30217
38	7272	30024
39	7463	29855
40	7651	29671
41	7832	29464
42	8016	29270
43	8201	29078
44	8378	28858
45	8563	28668
46	8743	28463
47	8919	28244
48	9093	28022
49	9265	27796
50	9442	27586
51	9621	27383
52	9804	27192
53	9978	26978
54	10156	26776
55	10333	26572
56	10512	26373
57	10691	26176
58	10870	25978
59	11045	25772
60	11219	25564
61	11397	25367
62	11574	25169
63	11749	24967
64	11926	24770
65	12101	24569
66	12278	24372
67	12455	24177
68	12631	23982
69	12811	23793
70	12990	23602
71	13163	23401
72	13339	23206
73	13518	23017
74	13694	22824
75	13871	22632
76	14047	22439
77	14221	22243
78	14397	22051
79	14574	21861
80	14753	21675
81	14931	21486
82	15105	21292
83	15284	21107
84	15461	20918
85	15640	20733
86	15824	20553
87	16001	20364
88	16178	20178
89	16352	19986
90	16531	19801
91	16711	19617
92	16891	19434
93	17070	19249
94	17243	19058
95	17419	18870
96	17595	18684
97	17776	18502
98	17952	18315
99	18135	18135
100	18309	17947
101	18487	17762
102	18666	17579
103	18851	17401
104	19021	17210
105	19198	17024
106	19380	16844
107	19559	16661
108	19740	16480
109	19918	16296
110	20098	16115
111	20274	15929
112	20452	15746
113	20631	15564
114	20814	15384
115	20988	15198
116	21162	15012
117	21335	14826
118	21512	14642
119	21691	14461
120	21875	14282
121	22047	14096
122	22222	13911
123	22397	13727
124	22573	13543
125	22749	13360
126	22925	13177
127	23099	12993
128	23274	12809
129	23456	12630
130	23635	12449
131	23815	12268
132	23992	12086
133	24163	11901
134	24338	11718
135	24516	11537
136	24698	11357
137	24879	11177
138	25052	10994
139	25226	10811
140	25399	10628
141	25580	10448
142	25762	10268
143	25938	10087
144	26113	9905
145	26287	9722
146	26465	9541
147	26644	9361
148	26826	9182
149	27004	9001
150	27182	8820
151	27358	8639
152	27536	8458
153	27714	8278
154	27891	8097
155	28069	7916
156	28244	7735
157	28419	7554
158	28601	7375
159	28783	7195
160	28960	7015
161	29134	6833
162	29310	6653
163	29486	6472
164	29665	6292
165	29845	6112
166	30028	5933
167	30204	5753
168	30376	5571
169	30552	5391
170	30727	5211
171	30904	5031
172	31080	4850
173	31254	4670
174	31430	4490
175	31609	4310
176	31788	4130
177	31964	3950
178	32141	3770
179	32318	3590
180	32500	3411
181	32690	3233
182	32874	3053
183	33049	2873
184	33224	2693
185	33403	2514
186	33582	2334
187	33762	2155
188	33948	1975
189	34137	1796
190	34312	1616
191	34492	1437
192	34673	1257
193	34851	1077
194	35025	898
195	35200	718
196	35372	538
197	35554	359
198	35742	179
199	35923	0
